"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1014","Email Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 09:06:59 PST 2025","passed","Tue Sep 30 09:07:00 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","6508","Last Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 09:06:52 PST 2025","failed","Tue Sep 30 09:06:58 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","1057","Email Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 09:07:07 PST 2025","passed","Tue Sep 30 09:07:08 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","1142","First Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 09:07:00 PST 2025","passed","Tue Sep 30 09:07:01 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","1520","First Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 09:06:52 PST 2025","passed","Tue Sep 30 09:06:53 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","6049","Last Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 09:07:00 PST 2025","failed","Tue Sep 30 09:07:06 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","1520","Form Should Be Submited Even First Name Input Field Is Blank - Not Required Field","Chromium Browser","Tue Sep 30 09:06:52 PST 2025","passed","Tue Sep 30 09:06:53 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","5969","Country Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 09:07:01 PST 2025","failed","Tue Sep 30 09:07:07 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","5982","Phone Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 09:07:01 PST 2025","failed","Tue Sep 30 09:07:07 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","6030","Country Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 09:06:54 PST 2025","failed","Tue Sep 30 09:07:00 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","6036","Phone Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 09:06:54 PST 2025","failed","Tue Sep 30 09:07:00 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","1174","Form Should Be Submited Even First Name Input Field Is Blank - Not Required Field","Chromium Browser","Tue Sep 30 09:07:00 PST 2025","passed","Tue Sep 30 09:07:01 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
