"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1186","Form Should Be Submited Even First Name Input Field Is Blank - Not Required Field","Chromium Browser","Tue Sep 30 10:40:38 PST 2025","passed","Tue Sep 30 10:40:40 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","11211","Email Input Field Should Not Accept Invalid Format","Chromium Browser","Tue Sep 30 10:40:27 PST 2025","failed","Tue Sep 30 10:40:38 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","1045","Email Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 10:41:03 PST 2025","passed","Tue Sep 30 10:41:04 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","11077","Last Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 10:40:39 PST 2025","failed","Tue Sep 30 10:40:50 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","11076","Terms and Conditions Checkbox Should Be Checked To Submit The Form","Chromium Browser","Tue Sep 30 10:40:27 PST 2025","failed","Tue Sep 30 10:40:38 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","11007","Last Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 10:40:51 PST 2025","failed","Tue Sep 30 10:41:02 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","10951","Country Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 10:40:40 PST 2025","failed","Tue Sep 30 10:40:51 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","11132","Phone Number Input Field Should Not Accept Number and Letters","Chromium Browser","Tue Sep 30 10:40:27 PST 2025","failed","Tue Sep 30 10:40:38 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","11608","Phone Number Input Field Should Not Accept All Letters","Chromium Browser","Tue Sep 30 10:40:15 PST 2025","failed","Tue Sep 30 10:40:26 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","11084","Phone Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 10:40:52 PST 2025","failed","Tue Sep 30 10:41:04 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","11617","First Name Input Field Should Not Accept All Numbers","Chromium Browser","Tue Sep 30 10:40:15 PST 2025","failed","Tue Sep 30 10:40:26 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","11064","Country Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 10:40:52 PST 2025","failed","Tue Sep 30 10:41:04 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","11617","Last Name Input Field Should Not Accept All Numbers","Chromium Browser","Tue Sep 30 10:40:15 PST 2025","failed","Tue Sep 30 10:40:26 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","1269","Form Should Be Submited Even First Name Input Field Is Blank - Not Required Field","Chromium Browser","Tue Sep 30 10:40:51 PST 2025","passed","Tue Sep 30 10:40:52 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","1142","First Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 10:40:39 PST 2025","passed","Tue Sep 30 10:40:40 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","1106","Email Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 10:40:50 PST 2025","passed","Tue Sep 30 10:40:51 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","1183","First Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 10:40:51 PST 2025","passed","Tue Sep 30 10:40:52 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","11030","Phone Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 10:40:40 PST 2025","failed","Tue Sep 30 10:40:51 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
